market,identifier,fiscal_year,market_cap_usd,revenue_usd,operating_income_usd,net_income_usd,currency,source
KR,054050,2025,78480000,114328122.19848,9821845.332,8843893.24824,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054090,2025,17496000,98166607.5456,-1421142.36264,-7599229.7364,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054180,2025,9144000,20275892.55936,-4137650.29296,-8564649.36192,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054210,2025,138744000,542275439.81688,31079832.59448,19191107.41992,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054220,2025,13032000,32264262.19296,41566.4532,1095100.24608,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054300,2025,31824000,48355929.79056,-2010495.258,-1133735.92272,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,054340,2025,,21982011.58224,235842.21072,-1243342.11024,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,054410,2025,11808000,28748951.42256,999477.93168,1591166.95056,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,054450,2025,116352000,138817515.90456,-4456417.00392,-44375524.42536,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054540,2025,71712000,85292726.27112,7357392.28944,6026802.19848,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054620,2025,53928000,61104001.69584,-4931598.58704,-6251375.63448,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054630,2025,,1697572.89144,-867070.5228,-5429728.8612,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,054670,2025,57240000,145729077.47784,8441735.17176,10985454.7884,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,054780,2025,18288000,11305283.06664,-2837100.87216,-1898126.12016,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,054800,2025,102960000,653827780.55376,64610294.64408,56134748.81376,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054920,2025,67824000,555276477.76848,4382539.71912,6747683.76144,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054930,2025,36720000,277561717.81992,6655511.14632,7574654.68128,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,054940,2025,14904000,127442036.40264,1803782.13768,833042.97,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,054950,2025,185400000,124653038.19264,23958907.86168,20412579.26664,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
